Trade_ID,Ticker,Outcome,Entry_Time,1W_Trend_Valid,1D_Trend_Valid,1D_Volume_Contracting,Breakout_Open_Valid,Intraday_Volume_Spike,Consol_Close_Below_8EMA,Consol_Close_Below_21EMA,Consol_Close_Below_50EMA,>=6_days_consol,Date
ACHR_20260105,ACHR,Loss,2026-01-05 09:55:00,0,0,1,0,1,1,1,1,1,
JOBY_20260105,JOBY,Loss,2026-01-05 09:50:00,0,0,0,0,1,1,1,1,1,
RXRX_20260107,RXRX,Loss,2026-01-07 10:05:00,0,0,0,0,1,1,1,1,1,
BBAI_20260115,BBAI,Loss,2026-01-15 10:05:00,1,0,0,0,1,1,1,1,1,
OXY_20260722,OXY,Loss,2026-07-21 09:45:00,1,0,1,1,1,0,0,1,1,
FUTU_20260722,FUTU,Loss,2026-07-22 09:35:00,0,0,1,0,1,1,1,1,1,
CVX_20260722,CVX,Loss,2026-07-22 09:50:00,1,0,1,1,0,0,0,0,0,
BMNR_20260722,BMNR,Loss,2026-07-21 09:55:00,0,0,0,0,0,1,1,1,0,
XOM_20260722,XOM,Loss,2026-07-21 09:50:00,1,0,0,1,0,0,0,0,0,
MA_20260727,MA,PENDING,2026-07-27 10:40:00,0,1,1,1,1,1,0,0,1,
AAPL_20260727,AAPL,PENDING,2026-07-27 09:50:00,1,1,1,1,1,1,0,0,1,
RTX_20260727,RTX,PENDING,2026-07-23 09:50:00,1,1,1,1,1,1,0,0,1,
JPM_20260727,JPM,PENDING,2026-07-24 11:00:00,1,1,1,1,0,1,0,0,1,
